Date,HT,AT,HS,AS
2012-02-28,Universidad de Chile,Cobreloa,4,1
2012-02-03,Universidad de Concepcion,Audax Italiano,1,1
2012-02-04,Palestino,Huachipato,2,2
2012-02-04,Wanderers,Universidad Catolica,2,1
2012-02-04,La Serena,Universidad de Chile,1,3
2012-02-04,Colo Colo,O'Higgins,1,0
2012-02-05,Antofagasta,Iquique,1,1
2012-02-05,Cobreloa,Union Calera,1,0
2012-02-05,Unión Española,Cobresal,6,1
2012-02-05,San Felipe,Rangers,0,0
2012-02-10,Universidad de Chile,Iquique,1,1
2012-02-11,Union Calera,Palestino,1,1
2012-02-11,Cobresal,Colo Colo,2,2
2012-02-11,Huachipato,La Serena,1,1
2012-02-11,Audax Italiano,Cobreloa,1,1
2012-02-12,Antofagasta,Universidad de Concepcion,2,1
2012-02-12,Rangers,Wanderers,2,3
2012-02-12,Unión Española,O'Higgins,0,2
2012-02-12,Universidad Catolica,San Felipe,1,1
2012-02-17,San Felipe,Unión Española,3,1
2012-02-18,Universidad de Concepcion,Cobresal,1,1
2012-02-18,Iquique,Rangers,2,0
2012-02-18,Wanderers,Audax Italiano,4,2
2012-02-18,Palestino,Universidad de Chile,1,3
2012-02-18,La Serena,O'Higgins,2,2
2012-02-19,Cobreloa,Huachipato,4,2
2012-02-19,Universidad Catolica,Antofagasta,1,0
2012-02-19,Colo Colo,Union Calera,3,1
2012-02-24,Audax Italiano,Palestino,1,2
2012-02-25,Rangers,Cobreloa,0,3
2012-02-25,Iquique,Huachipato,1,0
2012-02-25,O'Higgins,Universidad de Chile,3,0
2012-02-25,Colo Colo,Universidad de Concepcion,1,2
2012-02-25,La Serena,Wanderers,3,1
2012-02-26,Antofagasta,San Felipe,0,0
2012-02-26,Cobresal,Union Calera,1,4
2012-02-26,Unión Española,Universidad Catolica,2,2
2012-03-02,Universidad Catolica,Rangers,2,0
2012-03-03,Universidad de Chile,Cobresal,3,1
2012-03-03,Palestino,Unión Española,1,3
2012-03-03,Iquique,Audax Italiano,1,2
2012-03-03,Universidad de Concepcion,O'Higgins,1,3
2012-03-03,San Felipe,Huachipato,1,2
2012-03-04,Cobreloa,La Serena,2,2
2012-03-04,Wanderers,Colo Colo,0,0
2012-03-04,Union Calera,Antofagasta,0,0
2012-03-09,Rangers,Palestino,2,0
2012-03-10,Unión Española,Huachipato,1,3
2012-03-10,Universidad de Concepcion,Cobreloa,3,1
2012-03-10,Audax Italiano,Universidad de Chile,0,6
2012-03-10,San Felipe,Union Calera,0,0
2012-03-11,Antofagasta,Wanderers,1,0
2012-03-11,Cobresal,Iquique,0,4
2012-03-11,O'Higgins,Universidad Catolica,1,2
2012-03-11,Colo Colo,La Serena,0,2
2012-03-16,Wanderers,San Felipe,1,0
2012-03-17,La Serena,Universidad de Concepcion,1,0
2012-03-17,Iquique,O'Higgins,1,2
2012-03-17,Palestino,Cobresal,2,1
2012-03-17,Cobreloa,Colo Colo,0,2
2012-03-17,Universidad de Chile,Unión Española,3,2
2012-03-17,Huachipato,Antofagasta,2,0
2012-03-18,Union Calera,Universidad Catolica,1,0
2012-03-18,Audax Italiano,Rangers,3,0
2012-03-23,San Felipe,Universidad de Chile,0,1
2012-03-23,Universidad de Concepcion,Wanderers,2,5
2012-03-24,Unión Española,La Serena,5,2
2012-03-24,O'Higgins,Union Calera,2,1
2012-03-24,Universidad Catolica,Iquique,1,1
2012-03-24,Rangers,Huachipato,2,1
2012-03-25,Antofagasta,Cobreloa,1,0
2012-03-25,Cobresal,Audax Italiano,3,1
2012-03-25,Colo Colo,Palestino,0,1
2012-03-30,La Serena,San Felipe,2,1
2012-03-31,Wanderers,Cobresal,5,2
2012-03-31,Iquique,Universidad de Concepcion,2,0
2012-03-31,Palestino,Antofagasta,0,0
2012-03-31,Audax Italiano,Universidad Catolica,2,0
2012-03-31,Union Calera,Unión Española,1,0
2012-04-01,Cobreloa,O'Higgins,0,1
2012-04-01,Huachipato,Colo Colo,0,3
2012-04-01,Universidad de Chile,Rangers,2,0
2012-04-07,Unión Española,Colo Colo,4,2
2012-04-07,Rangers,Union Calera,2,0
2012-04-07,Iquique,La Serena,3,1
2012-04-07,O'Higgins,San Felipe,2,1
2012-04-07,Universidad de Concepcion,Palestino,2,0
2012-04-08,Antofagasta,Audax Italiano,1,2
2012-04-08,Cobresal,Huachipato,0,2
2012-04-08,Universidad de Chile,Wanderers,3,0
2012-04-08,Universidad Catolica,Cobreloa,5,1
2012-04-13,Unión Española,Rangers,2,1
2012-04-14,Palestino,Wanderers,2,1
2012-04-14,Colo Colo,Universidad Catolica,1,1
2012-04-14,San Felipe,Universidad de Concepcion,2,2
2012-04-14,La Serena,Audax Italiano,2,4
2012-04-15,Antofagasta,Cobresal,2,1
2012-04-15,Cobreloa,Iquique,0,1
2012-04-15,Union Calera,Universidad de Chile,0,1
2012-04-15,Huachipato,O'Higgins,2,1
2012-04-20,Audax Italiano,San Felipe,0,0
2012-04-21,O'Higgins,Palestino,5,0
2012-04-21,Iquique,Union Calera,3,3
2012-04-21,Wanderers,Unión Española,2,2
2012-04-21,Universidad de Concepcion,Huachipato,1,1
2012-04-21,Universidad Catolica,La Serena,3,0
2012-04-22,Cobresal,Cobreloa,0,1
2012-04-22,Rangers,Colo Colo,2,2
2012-04-22,Universidad de Chile,Antofagasta,4,0
2012-04-27,San Felipe,Cobreloa,0,3
2012-04-28,Unión Española,Universidad de Concepcion,4,1
2012-04-28,Palestino,Iquique,0,1
2012-04-28,Cobresal,Rangers,1,0
2012-04-28,Huachipato,Universidad Catolica,2,2
2012-04-28,La Serena,Antofagasta,4,1
2012-04-28,Wanderers,O'Higgins,0,1
2012-04-29,Universidad de Chile,Colo Colo,5,0
2012-04-29,Union Calera,Audax Italiano,1,1
2012-05-04,Audax Italiano,Huachipato,2,2
2012-05-05,Union Calera,La Serena,3,0
2012-05-05,Iquique,Wanderers,2,1
2012-05-05,Cobreloa,Palestino,1,0
2012-05-05,Colo Colo,San Felipe,1,0
2012-05-06,Antofagasta,Unión Española,1,1
2012-05-06,O'Higgins,Rangers,2,2
2012-05-06,Universidad de Concepcion,Universidad de Chile,2,0
2012-05-06,Universidad Catolica,Cobresal,5,0
2012-05-11,Huachipato,Union Calera,1,2
2012-05-12,Unión Española,Iquique,1,2
2012-05-12,Wanderers,Cobreloa,1,3
2012-05-12,Rangers,Universidad de Concepcion,1,2
2012-05-12,La Serena,Cobresal,1,1
2012-05-12,Colo Colo,Antofagasta,1,0
2012-05-12,San Felipe,Palestino,1,0
2012-05-13,Universidad Catolica,Universidad de Chile,2,1
2012-05-13,O'Higgins,Audax Italiano,3,1
2012-05-18,Union Calera,Wanderers,2,1
2012-05-19,Cobreloa,Unión Española,1,2
2012-05-19,Palestino,La Serena,1,0
2012-05-19,Iquique,San Felipe,4,1
2012-05-19,Audax Italiano,Colo Colo,1,3
2012-05-20,Antofagasta,Rangers,0,1
2012-05-20,Universidad de Concepcion,Universidad Catolica,1,1
2012-05-20,Cobresal,O'Higgins,1,0
2012-05-20,Universidad de Chile,Huachipato,4,0
2012-12-05,Unión Española,Huachipato,3,1
2012-12-09,Huachipato,Unión Española,3,1
2012-11-28,Unión Española,Colo Colo,3,1
2012-11-29,Huachipato,Rangers,1,0
2012-12-02,Colo Colo,Unión Española,0,2
2012-12-02,Rangers,Huachipato,1,1
2012-11-20,Audax Italiano,Colo Colo,0,2
2012-11-20,Huachipato,Palestino,1,1
2012-11-21,Unión Española,Universidad de Chile,0,0
2012-11-21,Rangers,Iquique,1,0
2012-11-24,Palestino,Huachipato,1,2
2012-11-24,Colo Colo,Audax Italiano,4,5
2012-11-25,Universidad de Chile,Unión Española,1,4
2012-11-25,Iquique,Rangers,0,1
2012-07-06,La Serena,Rangers,1,1
2012-07-07,Unión Española,Audax Italiano,3,3
2012-07-07,Universidad de Concepcion,Union Calera,0,0
2012-07-07,Wanderers,Huachipato,1,1
2012-07-07,San Felipe,Cobresal,0,0
2012-07-08,Iquique,Colo Colo,0,1
2012-07-08,Universidad Catolica,Palestino,0,1
2012-08-15,Antofagasta,O'Higgins,2,3
2012-09-04,Cobreloa,Universidad de Chile,0,1
2012-07-13,Audax Italiano,Universidad de Concepcion,2,2
2012-07-13,Iquique,Antofagasta,2,1
2012-07-14,Cobresal,Unión Española,2,1
2012-07-14,Union Calera,Cobreloa,1,0
2012-07-14,Universidad Catolica,Wanderers,3,2
2012-07-14,Huachipato,Palestino,1,1
2012-07-15,O'Higgins,Colo Colo,1,1
2012-07-15,Rangers,San Felipe,5,0
2012-07-16,Universidad de Chile,La Serena,5,2
2012-07-20,Universidad de Concepcion,Antofagasta,0,2
2012-07-21,O'Higgins,Unión Española,1,3
2012-07-21,Palestino,Union Calera,1,0
2012-07-21,Iquique,Universidad de Chile,0,0
2012-07-21,Cobreloa,Audax Italiano,1,2
2012-07-21,Wanderers,Rangers,2,2
2012-07-21,La Serena,Huachipato,2,0
2012-07-22,Colo Colo,Cobresal,1,2
2012-07-22,San Felipe,Universidad Catolica,0,1
2012-07-27,Rangers,Iquique,5,0
2012-07-28,Antofagasta,Universidad Catolica,2,2
2012-07-28,Unión Española,San Felipe,3,1
2012-07-28,Cobresal,Universidad de Concepcion,1,1
2012-07-28,Huachipato,Cobreloa,0,1
2012-07-28,Audax Italiano,Wanderers,4,1
2012-07-29,Union Calera,Colo Colo,1,1
2012-07-29,O'Higgins,La Serena,2,1
2012-08-08,Universidad de Chile,Palestino,3,2
2012-08-03,San Felipe,Antofagasta,2,1
2012-08-04,Palestino,Audax Italiano,0,0
2012-08-04,Cobreloa,Rangers,0,1
2012-08-04,Wanderers,La Serena,1,1
2012-08-04,Huachipato,Iquique,4,1
2012-08-05,Universidad de Concepcion,Colo Colo,1,1
2012-08-05,Universidad Catolica,Unión Española,1,1
2012-08-05,Union Calera,Cobresal,1,1
2012-08-29,Universidad de Chile,O'Higgins,1,1
2012-08-10,Audax Italiano,Iquique,0,1
2012-08-11,Unión Española,Palestino,1,0
2012-08-11,Cobresal,Universidad de Chile,1,2
2012-08-11,Huachipato,San Felipe,1,0
2012-08-11,La Serena,Cobreloa,0,0
2012-08-12,Rangers,Universidad Catolica,1,0
2012-08-12,Antofagasta,Union Calera,2,1
2012-08-12,O'Higgins,Universidad de Concepcion,4,1
2012-08-12,Colo Colo,Wanderers,1,1
2012-08-17,Huachipato,Unión Española,2,0
2012-08-18,Palestino,Rangers,4,1
2012-08-18,Union Calera,San Felipe,1,3
2012-08-18,Wanderers,Antofagasta,0,1
2012-08-18,Universidad de Chile,Audax Italiano,2,1
2012-08-19,Cobreloa,Universidad de Concepcion,3,1
2012-08-19,Iquique,Cobresal,3,2
2012-08-19,La Serena,Colo Colo,1,1
2012-08-19,Universidad Catolica,O'Higgins,1,0
2012-08-24,Universidad de Concepcion,La Serena,3,1
2012-08-25,Unión Española,Universidad de Chile,5,2
2012-08-25,Colo Colo,Cobreloa,3,1
2012-08-25,O'Higgins,Iquique,0,1
2012-08-25,Cobresal,Palestino,0,1
2012-08-25,San Felipe,Wanderers,1,0
2012-08-26,Antofagasta,Huachipato,3,0
2012-08-26,Rangers,Audax Italiano,1,0
2012-08-26,Universidad Catolica,Union Calera,1,1
2012-08-31,Audax Italiano,Cobresal,1,1
2012-09-01,Cobreloa,Antofagasta,3,1
2012-09-01,Wanderers,Universidad de Concepcion,3,1
2012-09-01,Iquique,Universidad Catolica,3,2
2012-09-01,Universidad de Chile,San Felipe,2,0
2012-09-01,Huachipato,Rangers,1,2
2012-09-01,La Serena,Unión Española,2,1
2012-09-02,Union Calera,O'Higgins,0,0
2012-09-02,Palestino,Colo Colo,0,3
2012-09-14,Universidad Catolica,Audax Italiano,1,0
2012-09-15,Rangers,Universidad de Chile,2,2
2012-09-15,Universidad de Concepcion,Iquique,0,1
2012-09-15,Cobresal,Wanderers,2,1
2012-09-15,O'Higgins,Cobreloa,1,0
2012-09-15,San Felipe,La Serena,3,0
2012-09-16,Antofagasta,Palestino,0,1
2012-09-16,Colo Colo,Huachipato,3,0
2012-09-16,Unión Española,Union Calera,0,0
2012-09-21,La Serena,Iquique,2,3
2012-09-22,Palestino,Universidad de Concepcion,1,0
2012-09-22,Wanderers,Universidad de Chile,2,2
2012-09-22,Huachipato,Cobresal,1,1
2012-09-22,Audax Italiano,Antofagasta,1,2
2012-09-22,San Felipe,O'Higgins,1,1
2012-09-23,Cobreloa,Universidad Catolica,4,3
2012-09-23,Union Calera,Rangers,2,2
2012-09-23,Colo Colo,Unión Española,3,0
2012-09-28,O'Higgins,Huachipato,2,4
2012-09-29,Universidad de Chile,Union Calera,0,0
2012-09-29,Universidad de Concepcion,San Felipe,1,1
2012-09-29,Cobresal,Antofagasta,3,1
2012-09-29,Rangers,Unión Española,1,0
2012-09-29,Audax Italiano,La Serena,3,2
2012-09-30,Universidad Catolica,Colo Colo,0,2
2012-09-30,Iquique,Cobreloa,1,1
2012-09-30,Wanderers,Palestino,2,3
2012-10-05,Unión Española,Wanderers,2,2
2012-10-06,Palestino,O'Higgins,2,1
2012-10-06,Huachipato,Universidad de Concepcion,2,0
2012-10-06,La Serena,Universidad Catolica,1,3
2012-10-07,Antofagasta,Universidad de Chile,2,4
2012-10-07,Union Calera,Iquique,1,1
2012-10-07,Cobreloa,Cobresal,3,0
2012-10-07,Colo Colo,Rangers,2,2
2012-10-08,San Felipe,Audax Italiano,1,3
2012-10-20,Universidad de Concepcion,Unión Española,2,1
2012-10-20,Iquique,Palestino,2,1
2012-10-20,Universidad Catolica,Huachipato,0,2
2012-10-20,O'Higgins,Wanderers,1,1
2012-10-21,Antofagasta,La Serena,2,1
2012-10-21,Rangers,Cobresal,2,0
2012-10-21,Colo Colo,Universidad de Chile,1,0
2012-10-21,Cobreloa,San Felipe,2,1
2012-10-21,Audax Italiano,Union Calera,2,1
2012-10-24,Wanderers,Iquique,2,1
2012-10-26,San Felipe,Colo Colo,2,1
2012-10-26,Huachipato,Audax Italiano,1,1
2012-10-27,Rangers,O'Higgins,1,2
2012-10-27,Palestino,Cobreloa,2,1
2012-10-27,Cobresal,Universidad Catolica,2,2
2012-10-27,Unión Española,Antofagasta,2,1
2012-10-27,La Serena,Union Calera,0,1
2012-11-14,Universidad de Chile,Universidad de Concepcion,3,1
2012-11-02,Universidad de Concepcion,Rangers,1,0
2012-11-03,Antofagasta,Colo Colo,1,2
2012-11-03,Cobresal,La Serena,2,2
2012-11-03,Palestino,San Felipe,1,2
2012-11-03,Iquique,Unión Española,2,4
2012-11-03,Audax Italiano,O'Higgins,5,1
2012-11-04,Cobreloa,Wanderers,2,4
2012-11-04,Union Calera,Huachipato,0,2
2012-11-04,Universidad de Chile,Universidad Catolica,0,0
2012-11-10,Huachipato,Universidad de Chile,0,3
2012-11-10,La Serena,Palestino,1,1
2012-11-10,Colo Colo,Audax Italiano,5,1
2012-11-11,Universidad Catolica,Universidad de Concepcion,2,2
2012-11-11,Unión Española,Cobreloa,2,1
2012-11-14,O'Higgins,Cobresal,1,2
2012-11-14,San Felipe,Iquique,1,2
2012-11-14,Rangers,Antofagasta,2,2
2012-11-14,Wanderers,Union Calera,2,0
2013-01-25,Rangers,Audax Italiano,1,1
2013-01-25,Huachipato,San Marcos,0,0
2013-01-26,Union Calera,Antofagasta,2,1
2013-01-26,Ñublense,Everton,1,1
2013-01-26,Iquique,Palestino,0,0
2013-01-27,Cobreloa,Colo Colo,5,2
2013-01-27,Cobresal,Unión Española,1,2
2013-01-27,O'Higgins,Universidad Catolica,0,1
2013-02-27,Wanderers,Universidad de Chile,2,1
2013-02-01,Universidad de Chile,Audax Italiano,1,0
2013-02-01,Everton,Huachipato,3,0
2013-02-02,Universidad Catolica,Palestino,1,1
2013-02-02,O'Higgins,Wanderers,2,0
2013-02-02,Unión Española,Rangers,1,2
2013-02-02,San Marcos,Cobresal,3,1
2013-02-03,Ñublense,Antofagasta,0,2
2013-02-03,Cobreloa,Iquique,4,1
2013-02-03,Colo Colo,Union Calera,2,0
2013-02-08,Audax Italiano,San Marcos,1,1
2013-02-08,Huachipato,O'Higgins,0,2
2013-02-09,Iquique,Colo Colo,2,1
2013-02-09,Universidad de Chile,Unión Española,0,3
2013-02-09,Wanderers,Union Calera,3,4
2013-02-10,Cobresal,Everton,0,1
2013-02-10,Palestino,Ñublense,0,1
2013-02-10,Rangers,Universidad Catolica,0,3
2013-02-10,Antofagasta,Cobreloa,0,0
2013-02-15,O'Higgins,Palestino,3,2
2013-02-15,Unión Española,Audax Italiano,4,0
2013-02-16,Everton,Universidad de Chile,1,1
2013-02-16,Union Calera,Iquique,1,0
2013-02-16,Universidad Catolica,Antofagasta,4,2
2013-02-16,San Marcos,Ñublense,0,4
2013-02-17,Cobreloa,Huachipato,3,3
2013-02-17,Cobresal,Rangers,2,2
2013-02-17,Colo Colo,Wanderers,1,0
2013-02-22,Ñublense,O'Higgins,1,1
2013-02-22,Audax Italiano,Cobresal,3,2
2013-02-23,Rangers,Cobreloa,2,2
2013-02-23,Palestino,Colo Colo,1,2
2013-02-23,Huachipato,Unión Española,0,1
2013-02-23,Iquique,Wanderers,0,2
2013-02-24,Universidad Catolica,Union Calera,4,0
2013-02-24,Antofagasta,Everton,1,2
2013-02-24,Universidad de Chile,San Marcos,6,1
2013-03-01,Unión Española,Ñublense,2,2
2013-03-02,Cobresal,Universidad de Chile,1,3
2013-03-02,O'Higgins,Audax Italiano,3,1
2013-03-02,Huachipato,Iquique,2,1
2013-03-02,San Marcos,Everton,2,2
2013-03-03,Cobreloa,Universidad Catolica,4,2
2013-03-03,Union Calera,Rangers,2,0
2013-03-03,Colo Colo,Antofagasta,3,3
2013-03-03,Wanderers,Palestino,0,0
2013-03-08,Ñublense,Cobresal,2,1
2013-03-08,Everton,Cobreloa,0,1
2013-03-09,Palestino,Union Calera,1,0
2013-03-09,Universidad de Chile,Iquique,2,0
2013-03-09,Audax Italiano,Huachipato,0,1
2013-03-09,San Marcos,Unión Española,0,1
2013-03-10,Antofagasta,O'Higgins,1,3
2013-03-10,Rangers,Colo Colo,1,0
2013-03-10,Universidad Catolica,Wanderers,2,3
2013-03-15,Wanderers,Antofagasta,1,4
2013-03-15,O'Higgins,San Marcos,2,1
2013-03-16,Union Calera,Universidad de Chile,2,3
2013-03-16,Huachipato,Universidad Catolica,1,2
2013-03-16,Unión Española,Everton,5,0
2013-03-17,Palestino,Cobresal,3,2
2013-03-17,Iquique,Rangers,0,2
2013-03-17,Cobreloa,Audax Italiano,1,1
2013-03-17,Colo Colo,Ñublense,1,1
2013-03-28,Rangers,Wanderers,0,0
2013-03-30,Unión Española,Iquique,1,0
2013-03-30,Everton,O'Higgins,2,0
2013-03-30,Universidad de Chile,Cobreloa,1,1
2013-03-30,Ñublense,Huachipato,0,3
2013-03-30,San Marcos,Union Calera,1,1
2013-03-31,Cobresal,Universidad Catolica,1,2
2013-03-31,Antofagasta,Palestino,1,2
2013-03-31,Audax Italiano,Colo Colo,3,1
2013-04-05,Union Calera,Audax Italiano,3,3
2013-04-06,Palestino,Rangers,2,2
2013-04-06,Wanderers,San Marcos,3,1
2013-04-06,Iquique,Antofagasta,1,1
2013-04-06,O'Higgins,Cobresal,2,2
2013-04-06,Universidad Catolica,Unión Española,1,3
2013-04-07,Cobreloa,Ñublense,0,2
2013-04-07,Huachipato,Universidad de Chile,3,4
2013-04-07,Colo Colo,Everton,3,0
2013-04-12,Antofagasta,Huachipato,3,3
2013-04-13,Unión Española,Cobreloa,0,0
2013-04-13,Audax Italiano,Iquique,3,1
2013-04-13,Rangers,O'Higgins,1,2
2013-04-13,San Marcos,Colo Colo,2,3
2013-04-14,Ñublense,Universidad Catolica,1,3
2013-04-14,Cobresal,Wanderers,1,2
2013-04-14,Universidad de Chile,Palestino,4,1
2013-04-14,Everton,Union Calera,2,3
2013-04-19,Wanderers,Audax Italiano,2,1
2013-04-20,Palestino,Everton,2,1
2013-04-20,Iquique,Ñublense,0,1
2013-04-20,Rangers,Antofagasta,4,1
2013-04-20,O'Higgins,Universidad de Chile,2,2
2013-04-20,Union Calera,Unión Española,2,1
2013-04-21,Cobreloa,San Marcos,2,1
2013-04-21,Colo Colo,Universidad Catolica,0,1
2013-04-21,Huachipato,Cobresal,0,2
2013-04-26,Unión Española,O'Higgins,0,2
2013-04-27,Everton,Wanderers,3,0
2013-04-27,Audax Italiano,Palestino,1,0
2013-04-27,Universidad Catolica,Iquique,1,1
2013-04-27,San Marcos,Rangers,1,0
2013-04-28,Antofagasta,Universidad de Chile,4,2
2013-04-28,Ñublense,Union Calera,0,2
2013-04-28,Cobresal,Cobreloa,1,4
2013-04-28,Colo Colo,Huachipato,2,2
2013-05-03,O'Higgins,Cobreloa,1,1
2013-05-04,Iquique,Cobresal,3,0
2013-05-04,Antofagasta,Audax Italiano,1,0
2013-05-04,Universidad Catolica,Everton,2,0
2013-05-04,Rangers,Ñublense,0,0
2013-05-04,Palestino,San Marcos,2,2
2013-05-04,Wanderers,Unión Española,0,2
2013-05-05,Universidad de Chile,Colo Colo,3,2
2013-05-05,Union Calera,Huachipato,0,1
2013-05-10,Huachipato,Wanderers,3,1
2013-05-11,Unión Española,Antofagasta,3,1
2013-05-11,San Marcos,Iquique,1,1
2013-05-11,Audax Italiano,Universidad Catolica,1,2
2013-05-11,Everton,Rangers,2,1
2013-05-12,Ñublense,Universidad de Chile,1,3
2013-05-12,Cobreloa,Palestino,1,0
2013-05-12,Cobresal,Union Calera,2,1
2013-05-12,Colo Colo,O'Higgins,1,2
2013-05-17,Audax Italiano,Everton,1,3
2013-05-18,Palestino,Unión Española,1,2
2013-05-18,Union Calera,Cobreloa,1,2
2013-05-18,Antofagasta,San Marcos,3,1
2013-05-18,Colo Colo,Cobresal,2,0
2013-05-18,Wanderers,Ñublense,3,1
2013-05-19,Universidad Catolica,Universidad de Chile,3,0
2013-05-19,Iquique,O'Higgins,2,1
2013-05-19,Rangers,Huachipato,5,2
2013-05-24,Universidad de Chile,Rangers,1,2
2013-05-25,Ñublense,Audax Italiano,2,4
2013-05-25,Cobresal,Antofagasta,3,2
2013-05-25,Cobreloa,Wanderers,2,0
2013-05-25,O'Higgins,Union Calera,0,1
2013-05-25,Huachipato,Palestino,0,2
2013-05-25,Everton,Iquique,2,1
2013-05-26,San Marcos,Universidad Catolica,1,2
2013-05-26,Unión Española,Colo Colo,1,0
2013-12-11,Universidad Catolica,O'Higgins,0,1
2013-07-27,Everton,Palestino,0,2
2013-07-27,Huachipato,Wanderers,0,1
2013-07-27,Union Calera,Cobresal,1,1
2013-07-27,Universidad de Chile,Rangers,0,1
2013-07-27,Antofagasta,Unión Española,1,0
2013-07-28,Audax Italiano,Colo Colo,4,0
2013-07-28,Cobreloa,Universidad de Concepcion,2,0
2013-07-28,Iquique,O'Higgins,0,1
2013-07-28,Universidad Catolica,Ñublense,3,0
2013-08-02,O'Higgins,Antofagasta,2,1
2013-08-03,Unión Española,Universidad Catolica,0,1
2013-08-03,Wanderers,Audax Italiano,0,0
2013-08-03,Palestino,Universidad de Chile,1,1
2013-08-03,Rangers,Huachipato,1,0
2013-08-04,Ñublense,Cobreloa,1,1
2013-08-04,Cobresal,Iquique,0,0
2013-08-04,Colo Colo,Everton,0,2
2013-09-04,Universidad de Concepcion,Union Calera,1,1
2013-08-09,Universidad de Chile,Cobresal,3,0
2013-08-10,Universidad Catolica,Universidad de Concepcion,1,1
2013-08-10,Palestino,Wanderers,2,2
2013-08-10,Everton,Rangers,3,1
2013-08-10,Audax Italiano,O'Higgins,1,1
2013-08-11,Antofagasta,Colo Colo,1,1
2013-08-11,Iquique,Unión Española,2,1
2013-08-11,Union Calera,Ñublense,2,1
2013-08-11,Huachipato,Cobreloa,0,0
2013-08-16,O'Higgins,Everton,1,1
2013-08-17,Unión Española,Huachipato,0,2
2013-08-17,Universidad de Concepcion,Palestino,2,0
2013-08-17,Universidad Catolica,Audax Italiano,1,1
2013-08-17,Cobreloa,Wanderers,2,1
2013-08-17,Rangers,Union Calera,2,2
2013-08-18,Ñublense,Universidad de Chile,2,2
2013-08-18,Cobresal,Antofagasta,2,0
2013-08-18,Colo Colo,Iquique,4,1
2013-08-23,Ñublense,Unión Española,0,2
2013-08-24,Wanderers,O'Higgins,0,3
2013-08-24,Palestino,Universidad Catolica,3,6
2013-08-24,Audax Italiano,Cobreloa,1,1
2013-08-25,Everton,Universidad de Concepcion,2,3
2013-08-25,Huachipato,Colo Colo,0,0
2013-08-25,Iquique,Union Calera,2,1
2013-08-25,Rangers,Cobresal,1,2
2013-08-25,Universidad de Chile,Antofagasta,5,0
2013-08-30,Antofagasta,Everton,2,0
2013-08-31,Universidad de Concepcion,Ñublense,2,2
2013-08-31,Union Calera,Audax Italiano,1,1
2013-08-31,Universidad Catolica,Cobresal,3,0
2013-08-31,O'Higgins,Palestino,0,1
2013-09-01,Colo Colo,Unión Española,0,2
2013-09-01,Cobreloa,Rangers,2,1
2013-09-01,Iquique,Huachipato,1,1
2013-09-01,Universidad de Chile,Wanderers,2,2
2013-09-13,Audax Italiano,Antofagasta,3,4
2013-09-14,Palestino,Union Calera,1,1
2013-09-14,Rangers,Colo Colo,0,3
2013-09-14,Wanderers,Iquique,0,2
2013-09-14,Unión Española,Cobreloa,0,1
2013-09-14,O'Higgins,Ñublense,1,0
2013-09-15,Everton,Universidad de Chile,2,1
2013-09-15,Cobresal,Universidad de Concepcion,1,0
2013-09-15,Huachipato,Universidad Catolica,0,4
2013-09-20,Everton,Unión Española,1,2
2013-09-21,Universidad de Concepcion,Rangers,2,1
2013-09-21,Union Calera,Wanderers,1,3
2013-09-21,Cobreloa,Cobresal,2,0
2013-09-21,Colo Colo,Palestino,0,1
2013-09-21,Universidad Catolica,O'Higgins,1,2
2013-09-22,Ñublense,Huachipato,3,1
2013-09-22,Antofagasta,Iquique,1,2
2013-09-22,Universidad de Chile,Audax Italiano,2,0
2013-09-27,O'Higgins,Huachipato,1,0
2013-09-28,Palestino,Cobreloa,2,0
2013-09-28,Cobresal,Colo Colo,3,1
2013-09-28,Union Calera,Antofagasta,1,1
2013-09-29,Universidad de Concepcion,Audax Italiano,2,1
2013-09-29,Wanderers,Everton,3,0
2013-09-29,Rangers,Ñublense,0,3
2013-09-29,Unión Española,Universidad de Chile,0,2
2013-09-29,Iquique,Universidad Catolica,2,2
2013-10-04,Huachipato,Palestino,0,2
2013-10-05,Ñublense,Wanderers,2,3
2013-10-05,Everton,Cobresal,0,1
2013-10-05,Universidad de Chile,O'Higgins,1,1
2013-10-05,Audax Italiano,Unión Española,0,2
2013-10-05,Universidad Catolica,Rangers,5,1
2013-10-06,Antofagasta,Universidad de Concepcion,1,1
2013-10-06,Cobreloa,Iquique,2,3
2013-10-06,Colo Colo,Union Calera,2,0
2013-10-18,Audax Italiano,Ñublense,0,2
2013-10-19,Unión Española,Palestino,2,1
2013-10-19,Universidad de Concepcion,O'Higgins,0,1
2013-10-19,Universidad Catolica,Wanderers,2,0
2013-10-19,Iquique,Universidad de Chile,0,3
2013-10-20,Union Calera,Everton,2,0
2013-10-20,Cobresal,Huachipato,1,0
2013-10-20,Antofagasta,Rangers,0,2
2013-10-20,Colo Colo,Cobreloa,2,1
2013-10-25,Huachipato,Audax Italiano,2,1
2013-10-26,Palestino,Antofagasta,0,1
2013-10-26,O'Higgins,Colo Colo,2,3
2013-10-26,Rangers,Unión Española,1,1
2013-10-26,Everton,Iquique,1,0
2013-10-27,Universidad de Chile,Universidad Catolica,1,1
2013-10-27,Wanderers,Universidad de Concepcion,2,1
2013-10-27,Cobreloa,Union Calera,1,0
2013-10-27,Ñublense,Cobresal,2,1
2013-11-01,Universidad de Concepcion,Colo Colo,4,1
2013-11-01,Rangers,Palestino,2,3
2013-11-02,Cobresal,O'Higgins,0,4
