Date,HT,AT,HS,AS
2009-07-26,Iquique,Everton,1,2
2009-07-26,Rangers,O'Higgins,2,0
2009-07-26,Santiago Morning,Ñublense,3,1
2009-07-26,Unión Española,Cobresal,1,0
2009-07-26,Universidad Catolica,La Serena,2,0
2009-07-31,O'Higgins,Universidad de Concepcion,0,2
2009-08-01,Huachipato,Santiago Morning,0,1
2009-08-01,Palestino,Iquique,1,1
2009-08-01,Universidad de Chile,Unión Española,2,1
2009-08-02,Cobreloa,Cobresal,0,1
2009-08-02,Colo Colo,Audax Italiano,0,1
2009-08-02,La Serena,Curicó,2,0
2009-08-02,Ñublense,Universidad Catolica,0,0
2009-08-02,Rangers,Everton,0,2
2009-08-07,Universidad de Chile,Curicó,1,1
2009-08-08,Huachipato,La Serena,2,0
2009-08-08,Palestino,Cobreloa,2,1
2009-08-08,Santiago Morning,Colo Colo,2,1
2009-08-08,Universidad Catolica,O'Higgins,0,0
2009-08-08,Everton,Ñublense,1,0
2009-08-09,Audax Italiano,Universidad de Concepcion,2,1
2009-08-09,Cobresal,Rangers,2,0
2009-08-09,Iquique,Unión Española,3,4
2009-08-15,Iquique,Universidad de Chile,0,2
2009-08-15,Universidad de Concepcion,Santiago Morning,2,1
2009-08-16,Cobresal,Ñublense,0,0
2009-08-16,Colo Colo,Rangers,3,0
2009-08-16,Curicó,Palestino,2,1
2009-08-16,La Serena,Cobreloa,4,2
2009-08-16,Universidad Catolica,Huachipato,3,1
2009-09-06,Unión Española,Audax Italiano,2,4
2009-09-06,Everton,O'Higgins,1,1
2009-08-21,Audax Italiano,Curicó,1,1
2009-08-22,O'Higgins,Colo Colo,2,2
2009-08-22,Palestino,Unión Española,3,3
2009-08-22,Huachipato,Cobresal,2,1
2009-08-23,Cobreloa,Universidad Catolica,0,2
2009-08-23,Ñublense,La Serena,1,0
2009-08-23,Santiago Morning,Iquique,3,2
2009-08-23,Universidad de Chile,Everton,1,1
2009-09-06,Rangers,Universidad de Concepcion,1,1
2009-08-28,Everton,La Serena,0,1
2009-08-29,Universidad Catolica,Colo Colo,2,1
2009-08-29,Universidad de Concepcion,Palestino,2,0
2009-08-29,Unión Española,Cobreloa,2,0
2009-08-30,Cobresal,Santiago Morning,3,1
2009-08-30,Iquique,Ñublense,1,3
2009-08-30,O'Higgins,Huachipato,2,1
2009-08-30,Rangers,Curicó,0,0
2009-08-30,Universidad de Chile,Audax Italiano,3,2
2009-09-12,Everton,Universidad Catolica,1,1
2009-09-12,Huachipato,Rangers,0,3
2009-09-12,La Serena,Universidad de Concepcion,0,1
2009-09-12,Ñublense,Universidad de Chile,0,2
2009-09-12,Palestino,Santiago Morning,0,1
2009-09-13,Audax Italiano,Iquique,2,0
2009-09-13,Cobreloa,O'Higgins,5,1
